ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"49.12.80.186","elite","AS24940","DE","Hetzner Online GmbH","29","Hetzner","8118","socks4","1","88","2995","3386","2025-11-24T03:56:18.066Z","4574"
"119.42.71.103","elite","AS131090","TH","CAT Telecom Public Company Limited","180","CAT BB","4145","socks4","1","74","8033","10921","2025-11-24T03:56:18.064Z","3613"
"103.254.57.227","elite","AS59169","IN","Kngd Infosys PVT LTD","176","Kngd Infosys PVT LTD","60606","socks4","1","80","2692","3367","2025-11-24T03:56:18.063Z","4972"
"77.81.81.233","elite","AS20860","US","Iomart Cloud Services Limited","18","Nitro Cloud","10589","socks4","1","59","2451","4189","2025-11-24T03:56:18.164Z","3700"
"178.221.41.10","elite","AS8400","RS","Telekom Srbija Internet Backbone Network","33","N/A","3629","socks4","1","100","1815","1823","2025-11-24T03:56:18.065Z","3571"
"62.171.134.234","elite","AS51167","DE","Contabo GmbH","10","Contabo GmbH","4181","socks5","1","100","3477","3492","2025-11-24T03:56:18.066Z","4405"
"68.55.186.151","elite","AS7922","US","Comcast Cable Communications, LLC","125","Comcast Cable Communications, Inc.","80","socks4","1","100","422","423","2025-11-24T03:56:16.983Z","4204"
"154.83.2.66","elite","AS209242","PH","Cloudflare London, LLC","7","Softmedia Entertainment Solutions, Inc","80","http","28404","100","5","5","2025-11-24T03:56:16.898Z","5087"
"115.127.103.82","elite","AS24342","BD","BRACNet Limited","178","BRACNet Limited","4673","socks4","1","94","10320","10978","2025-11-24T03:55:49.782Z","3899"
"189.174.113.50","elite","AS8151","MX","UNINET","151","Gestión de direccionamiento UniNet","80","socks4","1","99","567","573","2025-11-24T03:55:49.571Z","2474"
"178.44.185.9","elite","AS12389","RU","Orenburg branch of OJSC VolgaTelecom","85","OJSC VolgaTelecom","7788","socks5","1","57","2356","4101","2025-11-24T03:55:49.572Z","4583"
"152.32.186.145","elite","AS135377","HK","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","253","Ucloud Information Technology (hk) Limited","1080","socks5","1","63","6909","10969","2025-11-24T03:55:49.781Z","4514"
"172.104.145.22","elite","AS63949","DE","Akamai Technologies","7","Linode","9064","socks4","1","100","10964","10965","2025-11-24T03:55:49.470Z","3387"
"178.218.201.63","elite","AS59668","UZ","PE Turon Media","93","first IP Network of ISP Turon Telecom","1080","socks4","1","41","4547","10985","2025-11-24T03:55:49.573Z","3314"
"49.128.180.110","elite","AS55666","ID","GMEDIA","267","N/A","4145","socks4","1","99","4143","4198","2025-11-24T03:55:49.571Z","3583"
"23.227.60.14","elite","AS13335","CA","Cloudflare, Inc.","11","Shopify, Inc.","80","http","27497","100","5","5","2025-11-24T03:55:49.566Z","4782"
"159.65.116.119","elite","AS14061","DE","DigitalOcean, LLC","11","DigitalOcean, LLC","30199","socks5","1","97","10702","10989","2025-11-24T03:55:49.471Z","4228"
